	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	1.86326	0.42821	0.76497	0.36081	0.69273	2.26911	0.01173	0.97833	1.46717	1.02269	0.80549	0	0.15199	1.74756	0	0	1.29079	0.05625	1.72038	0.0065	0.0589	0.40188	35.32953	0	0	0.00097	0.00834	13.6818	0	0.99719	1.23312	0.25929	0.03332	0.89472	0.94215	0.76553	0.00548	6.95607	1.41797	0.59286	27.34634	0.0664	27.02197	2.87867	0.55113	0	1.47643	0.10974	0.47201	0.93188	0.00692	0.79646	0.01208	0.00855	0.01379	0.01748	0	12.09503	0	0.08695	0	1.2906	0.06854	1.06325	0	1.64933	0.00595	2.25023	0.10779	19.80316	0.00906	0.0012	1.31354	0	1.2643	4.38773	1.10163	0.27793	0.48786	0.20298	0.02328	0	0	0.57776	4.37115	0.00877	0.00042	0	2.72073	0.00394	8.37798	2.07273	0.00105	0.02009	0.69474	1.63286	6.17685	1.79175	0	0.064	0	3.31635	0	3.79275	1.3409	0.01769	8.53883	0	0.00013	0.01677	0.04323	18.24968	0.02043	0	0.00848	0.00417	0	0.01391	0	0.01955	1.16612	0.12055	0.00225	0.14797	1.91262	3.50029	0.00084	0	0.14731	0.1333	0.04439	2.46217	4.17719	0	1.24276	1.73962	0	0.02002	0	1.02375	0	1.19385	4.49959	2.78649	2.49631	0.06032	0	5.01986	0.152	0	0.00519	0	0	0	0	14.48764	0.01198	4.9208	0.00534	0.00311	17.34887	0.01038	0.00474	0.87541	3.10192	14.88934	1.22221	4.08583	0.05077	2.08584	0.04747	6.98429	0.01073	0.01333	0	0.00276	0.61458	0.04765	0	0.3714	0.00082	17.66511	1.82095	0.18308	35.71399	8.48893	0.07608	0.00048	0.01159	0.04583	0.0821	0	0.71673	0.01108	0.02684	14.64359	0	0.00393	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.12649	1.74715	1.37032	6.81975	4.31249	3.73295	0.67336	4.0693	2.2343	2.16429	7.13418	4.2268	3.43882	5.40956	2.07268	1.99669	6.40413	1.19609	5.23563	3.86388	8.41468	2.21605	6.98807	5.31108	2.64569	0.00443	6.47266	3.44219	2.52159	9.52532	3.74356	2.31543	1.25292	0.59477	1.28092	0.10887	4.7848	1.70382	18.0582	0.26383	14.94737	0.95071	2.43779	1.75149	0.1347	3.2959	5.32976	0.45734	2.69958	2.45151	4.02083	3.03172	0.39501	3.22106	4.39673	6.68408	0.65962	11.60521	6.38792	5.44726	1.76323	0.50115	2.23271	4.81051	3.45313	1.03154	14.45986	0.58084	2.96624	1.40823	7.10772	3.11715	6.7558	0.01203	3.75014	5.89721	5.45415	8.24357	1.09665	2.61759	1.5905	10.1313	0	2.3223	3.38545	2.34833	1.83049	1.2391	8.75758	9.98941	10.98589	3.33954	0.47694	3.71096	3.82807	5.67376	1.22263	0.07976	0.60527	3.14047	4.35302	5.65018	0.87518	7.1541	4.03916	1.29262	0.45722	2.32034	5.17127	6.93788	4.56835	4.81756	1.63212	2.41854	4.56013	11.36342	2.57331	8.0327	1.0975	2.40644	12.39644	2.10006	5.22081	5.00337	3.15796	4.14564	0.11078	6.44908	1.31194	2.30498	8.79863	1.39812	6.19385	16.40417	5.90854	0.7501	7.1658	4.17823	4.3102	2.88656	1.00044	0.75515	4.58248	5.24208	2.86455	9.59271	6.80687	1.66816	1.48102	3.39822	2.96742	0.67739	0.96403	2.36531	12.59096	3.87563	1.92289	2.21618	3.04773	4.58814	4.86292	3.28345	4.14848	0.94784	14.15455	2.75434	3.05526	5.70436	1.9261	2.69544	8.39899	5.34939	7.82294	5.77506	3.63341	1.08679	11.8309	5.9171	6.61422	5.60175	6.71866	7.34826	4.31017	2.63184	1.09981	9.27302	2.49674	4.55428	3.22868	6.1485	14.54804	7.3001	5.55563	0.30485	1.29491	2.4219	4.49687	1.75191	5.06711
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.43642	0.02923	0.29966	0.00773	0.09398	0.0755	0	0.41659	0.37695	0	0.11205	0.47235	0.61962	0.65006	0.15391	0.0908	0.97521	0.33125	0.25471	0.08395	0.13854	0	0.54114	0.09637	0	0	0.15913	0.27869	0.04743	0.13226	0.27248	0.38916	0.78402	0.21874	0.14055	0.02852	0.13954	0.00869	0.04679	0.03607	0	0.03252	0.53147	0.09106	0.02855	0.40114	0.002	0.03011	0.00544	0.06004	0	0.07987	0.00116	0.39326	0.51975	0.00323	0	0	0.61733	0.06111	0.00021	0.3312	0	2.76938	0.23195	0.02837	0	0	0	0	0.80562	0.18604	0	0	2.50124	0	0.0298	0.11496	0	0.34898	0.08653	0	0	0.18051	0.18978	0.23043	0.06477	0	0.21603	3.7898	0.82892	0.26001	0.01592	0.07514	0	0.36309	0.00077	0.0066	0	0.05088	1.27434	0	0	0.0737	0.41901	0.2206	0.09003	0.00363	0.74682	0.13537	0.40915	0	0.00946	0.1462	0.22296	0	0.3249	0.00371	0.17755	0.90688	0.11533	0	0.39285	0.12716	0.14167	0.15165	0.0149	0.16688	0.06019	0.61628	0.21371	0.62378	0.43528	0.52828	0.42286	2.03954	0.74471	0.10885	0	0.46043	0.19372	0	2.19623	0.0878	0.11839	0.49496	0	0.34759	0.00338	0.59363	0.0061	0.02729	0.06751	0.24837	0	0.4183	0.00454	0	0.26312	0.67587	0.23396	0.24382	0.08753	0.45297	0.51793	0.66498	0	0	0	0.8393	0	0.06398	0.41861	0.6097	0.17266	0.00041	0.23241	0	0.36654	0.46254	0.73035	0.00066	0.47538	0.01376	0	0.48754	0	0	0.00013	0.2269	0.18784	0.30344	0	0.00376	0.11144	3.59277	0.00156	1.4247	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.36918	0.35031	0.37157	0.43557	0.50005	0.43462	0.24626	0.96131	0.34585	0	0.71827	1.045	0.35358	0.15239	0.04721	0.31554	3.01159	1.48399	0.21192	0.36272	0.19239	0	0.33618	0.24843	0.80896	0	0	0	0.44417	0.91734	0.03051	0	0.3042	0.14263	0.42811	0.0583	0	0.20211	0.91046	0.06435	0	36.04238	0.31062	0.1954	0.03603	0	0.52517	0.03911	0.06161	0.15746	0.15328	0.31162	1.13051	0.16983	0.07542	0.3476	0.22936	0.41503	1.55594	0.34019	0.38864	0.44524	0.93655	0.68754	0.31378	0.10582	0.17139	0.29243	0.29625	0.79494	0.23329	0.15573	0	0	0.3112	2.08945	0.28181	0.29921	0.1193	0.10701	0	0	0	0.49815	0.66287	0.10972	0.07498	0.02331	0.88586	0.59347	0.23129	0.24912	0	0.46609	0	0.27353	0.42037	0.06146	0.25728	0.37605	0.47414	1.35418	0	0.06059	0.01912	0.22033	0	0.97352	0.07432	0.81995	0.02584	0.46182	0.06631	1.71291	0.0567	0.22144	0.25435	0.00843	0	0.24184	0.61979	0.20487	0	0.15783	0.37932	0.18302	0.10685	0.09649	0.06727	1.67389	0.40413	1.05472	0.4122	0.15089	0.92214	9.00849	2.2591	0.55334	1.15243	0.03295	0.07013	0.02036	4.81737	0.39952	0.31209	1.69139	0.10523	0.03736	0.39688	0.24376	0.72914	0.05908	0.01118	0.26824	0.79249	0.29929	1.10915	0	0.24548	0.79409	0.10015	0.2295	0.1888	0.00896	2.3956	0.59	0.40509	0.21721	0.85969	0.76379	0.7072	0.92562	0.3451	0.50204	0.12344	0.08576	0.35065	0	0.0013	0.32646	0.47043	0.75545	0.71105	0.12967	0	0.24168	0.02458	0.20883	0.42402	0	0.78022	0.48908	0.2758	0	0.05518	1.31351	0	0.18344	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.23661	0.04278	1.20971	0.04282	0.71507	0.57147	2.24733	1.05543	1.99272	0.98301	1.59899	3.48192	0.08789	0.42344	0.13292	0.40321	1.00577	2.55459	2.67391	3.98268	0.12863	0.69021	2.49546	0.1676	0.58771	0.0412	4.52609	4.23447	1.56953	1.33673	2.30992	0.03218	1.7858	0.11543	1.12584	1.05268	2.55069	2.28654	0.73568	1.41597	2.86407	3.1323	0.33036	0.06824	0.35369	0.52322	1.45454	4.05707	0.72406	0.98633	1.88988	0.64832	0.4915	0.70342	0.42004	0.35793	1.72187	2.60695	0.43753	1.87095	0.07437	0.32133	1.52054	0.06721	1.1571	0.35871	2.22606	1.2517	1.89296	0.41482	0.3327	1.15963	1.17432	0.66588	0.32141	0.02317	3.35876	0.87583	0.50476	1.01815	0.3483	1.29995	32.74351	1.49579	0.50756	0.21114	1.94746	0.31995	0.61655	1.58472	0.9685	1.84412	3.56432	2.2405	0.45071	0.00541	1.04048	2.37034	0.25492	1.67285	1.15143	1.56855	0.01945	0.53547	1.6589	0.43558	1.01899	2.31121	0.57479	0.06068	1.4939	0.51994	1.76323	0.80481	3.44519	0.28098	1.7528	3.29997	1.03931	0.62806	0.123	0.74772	0.20048	4.63714	1.3957	0.54054	3.09584	0.04952	0.99981	0.84307	0.04207	0.41073	2.8689	0.03246	0.81878	2.68208	0.17717	0.93355	1.74619	3.75322	1.97765	0.79563	2.84677	0.94066	0.00625	0.19702	0.62053	0.84022	5.18463	0.88768	5.26972	1.96405	2.34552	0.23467	2.62951	4.14932	0.94777	0.36004	0.77024	0.56954	0.74936	0.33984	1.48571	0.64875	2.08003	1.66586	0.34963	0.13655	0.63788	1.38085	0.17262	1.97191	1.0699	3.51102	0.90238	2.01952	0.42339	0.40896	0.17518	0.47291	0.8216	0.33612	0.33487	0.90826	0.0022	0.30264	1.16709	1.36492	0.17147	0.47404	2.48358	0.23009	0.56224	0.5256	4.55238	1.31379	0.397	2.05557	1.41491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.21898	0.00149	0	0	0.06475	0.00211	0	0	0	0	0	0	0.20535	0	0	0	0.00622	0	0.05693	0	0.02204	0	0	0.0782	0	0	0	0.04092	0	0.00575	0.00742	0	0.00032	0.17655	0.01587	0.00732	0.0359	0	0	0.00221	0	0	0.00279	0.10209	0	0.00622	0	0.00013	0.06188	0.01061	0.02143	0.00813	0	0	0.00833	0.00239	0.03128	0	0.00616	0.01064	0	0	0.02466	0.07778	0.18101	0	0	0	0.11431	0.0293	0	0.00219	0	0	0.01988	0	0	0.03555	0.01057	0.05282	0.08118	0	0	0.16626	0	0.00827	0.00495	0	0.06891	0	0.02824	0	0	0	0	0.03728	0	0	0	0.01754	0.00252	0	0.01772	0.00086	0	0	0.01553	0	0.01742	0.01368	0.05634	0	0	0.00577	0	0	0	0.01329	0.41052	0	0	0.41142	0.13261	0.00125	0.0021	0.08897	0.01822	0.04175	0.03845	0.00106	0.21143	0.01984	0	0	0	0.00825	0	0.00123	0	0.16203	0	0	0	0.02496	0.00064	0	0	0.02039	0	0.07133	0.05377	0	0	0	0.00088	0.00229	0	0	0.00418	0.09483	0.00786	0	0	0.00679	0.01388	0.00545	0.05858	0	0.00041	0.03899	0	0.00499	0.07121	0	0.09844	0.00868	0.01255	0.0205	0.20611	0	0	0	0	0.21228	0	0.00021	0	0	0.03958	0	0	0	0.00939	0	0	0.02801	0	0.00528	1.10811
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.13873	0.0938	0.07848	0.07814	0.42164	0.01426	0.40139	0.00958	0.7835	1.83463	0.11593	0.83367	0.00813	3.4915	0.21979	0.11625	0.16135	0.85582	0.89461	5.51625	1.43809	0	5.22391	0.17496	1.33263	2.6162	3.91311	0.91853	6.42193	0.13469	0.40254	0.04686	0.17135	1.12593	1.62055	0.27779	20.21488	0.57112	2.18755	0.25406	0.09282	0.00107	0.11174	0.11122	0.07209	0.06735	0.07742	12.60418	1.15486	0.0945	0.07847	3.61757	0.37314	0.08131	0.04474	1.32553	1.50871	2.39931	0.05764	1.20858	0.34918	0.14869	1.62155	0.06634	0.04509	0.24313	7.11666	0.07635	0.14541	0.05187	0.19324	0.36715	3.23482	0	0.03919	0.07885	5.40176	0.36161	4.51932	0.0631	0.07072	0.36374	5.19052	2.3281	0.01066	1.83223	1.02731	0.57671	0.40646	3.50116	0.70629	0.36711	5.8233	0.03216	0.09235	0.23476	3.29664	0.12151	0.34226	1.60541	1.09675	2.77374	0.15076	1.25207	0.46248	0.40413	0.69541	2.48615	0.50129	3.26312	1.2646	3.42074	14.8761	5.35536	1.4026	0.414	0.25422	8.32534	0.11109	0.37227	1.74978	0.16188	2.60095	2.92931	0.03153	4.56806	0.06929	0.61069	0.02962	0.68586	0.06071	0.05896	0.40183	0.29036	5.65106	0.02422	0.39157	0.08903	0.31768	0.75976	3.91722	1.89513	0.12666	0.28899	0.02971	1.57346	2.76698	0.63058	0.06718	0.01573	0.87158	1.10323	0.26787	0.11688	0.38914	0.04267	2.77423	0.3752	3.5821	0.46394	1.06392	0.4824	2.98109	1.87119	0.21457	0.09794	0.0417	0.06335	0.4473	0.40111	1.82085	1.17807	0.29376	3.9461	0.15488	2.06268	0.48754	0.07588	0.06027	0.08509	1.10894	0.12718	0.09708	0.30106	0.04236	0.22283	4.25537	0.04613	0.02633	1.13238	0.46716	0.03968	0.11506	0.34425	0.00792	0.07447	0.04963	0.08207	0.08179
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.09976	0.25828	1.01363	0.69686	3.75781	2.971	0.18233	0.22212	0.96461	0.40685	5.72371	6.84275	0.15821	1.16834	1.58	8.1576	0.02928	2.35844	0.73479	2.9427	0.40042	0.14302	1.88242	1.17476	5.12348	1.71655	0.29136	0.36124	21.35906	2.20938	16.22065	0.38389	0.07336	2.42115	1.03101	3.52101	0.00327	2.04165	0.7752	0.84332	0.07906	0	0.11867	0.33619	0.06449	0.00312	0.3067	20.58587	1.67597	0.20087	0.99957	0.48533	1.48332	1.78087	3.39809	4.6483	1.42854	0.06358	0.37728	0.68464	1.99818	2.20564	0.31292	0	0.63321	0.41047	0.6145	4.12959	1.90716	0.0056	0.10693	7.95225	4.1483	0.15461	0.38383	0.17712	9.04983	1.3856	0.28904	0.78766	2.19331	3.41536	3.40324	3.74747	0.10608	1.19024	0.58573	1.64597	0.79226	0.12762	1.06323	0.2718	24.24272	1.82348	0.46309	1.98835	1.62462	1.02841	7.10862	0.54915	0.29792	1.43707	43.12226	0.18736	4.76562	0.37859	4.74839	0.89953	0.81873	0.0082	1.12304	3.54628	1.86865	1.40093	0.47068	0.32938	0.22793	0.8157	0.77712	0.02517	0.4005	2.05773	0.16194	1.15154	0.63495	0.21181	1.08157	0.42058	4.64007	0.42589	0.17588	0.24496	0.36885	0.00631	3.68744	0	0.09814	2.33458	1.78305	2.73914	18.54216	0.29381	0.17066	0.22907	0.11943	2.62074	15.67667	0.22093	1.49592	0.76499	3.79319	0.84912	0.30848	0.1236	2.51963	0.03685	0.92421	0.41658	0.03127	0.44248	0.09446	2.97776	2.97051	0.57599	0.12078	0.1855	0.06321	0.03821	0.13057	0.88793	0.22689	0.55023	0.13856	0.03012	0.1928	0.1168	0.31026	0.14083	0.68835	0.96338	0.04026	0.13868	0.26612	1.21456	0.27266	0.45224	0.32534	1.15101	0.85201	0.61122	0.13263	0.09605	0.15795	1.36231	0.33334	0.04241	0.06375	0.1167	0.06538
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.08507	0.0125	0.03191	0.40549	7.05622	1.58961	0.01152	1.77509	12.27742	0.00156	0.09643	0.00224	0.17846	21.15806	0	0	5.18164	2.47449	0.89652	8.60881	0	0.03892	0.20687	0.11625	0.70029	1.47995	0.043	0.00292	3.78579	0.00487	1.42219	0.10977	0.01339	0	0.09798	0.0453	0	0.01186	1.26587	2.63741	0.0747	0.36218	1.79956	0.5225	0.00483	0.79188	0.01687	0.04987	1.67232	0.82213	1.42146	0.52414	50.43719	0.00384	0.00612	0.31639	16.30778	2.05067	2.52487	2.0295	0.01082	0.00135	8.69269	0.31458	0.35586	0.46099	0.81184	0.09167	1.9822	42.26317	0.07906	2.0799	5.23789	0.36643	0.42987	0.03947	2.07418	1.61073	0.08525	0.03377	0.00372	0.07998	0.28629	0.23168	0.01664	0.07362	0.08977	6.12398	2.65547	0.30964	0.0767	0.73083	0.29202	4.0279	0.00869	0.55712	0.59885	0.13899	1.31564	23.66377	2.44122	8.89228	2.44008	14.5483	0.0107	0.94546	0	0.74598	0.02761	0	0.15699	10.60409	0.07439	0.24844	0.02982	1.38603	0.15697	0.31111	0.52204	5.77685	10.53708	0.03462	0.00275	3.8792	0.35709	1.4106	0.01213	0.10075	0	2.18175	0.00622	0.92115	0.52297	3.48961	0.23724	26.87233	0.39569	0.0387	0.01447	8.92717	2.00722	0.1233	0.66433	0.04593	0.68536	0.63931	0	0.19128	2.01482	1.77841	1.07401	1.61577	0.27926	0.26156	4.43128	0.02427	0	0.09059	0.09831	1.85511	0.21357	0.08492	0.12743	0.48576	0.08547	0.00382	0.00321	0.04568	0.37909	0.04883	0.00643	0.26297	0.05903	0.00416	0.15874	0.00939	1.7211	0.02255	0.696	3.42592	0.31101	4.23696	0.05459	9.47602	0.02797	0.85096	0.38788	1.95677	0.04894	0.64757	0.01036	0.03861	0.06666	0.1347	0.02472	0.0873	0.11372	0.04426	0.20305
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.07943	0.01198	1.57595	0.01685	0.19767	0.02897	1.14106	1.44561	0.0139	0.01343	0.05337	0.67202	0.02886	0.15465	1.4082	0	0.00376	0.03391	0.10129	0.0217	2.49555	0	0.22036	0.22286	0.69548	0	0.69542	0.24423	0.13466	0.022	0.02187	0.03622	0.03397	0.00785	0.05404	0.03393	0.13351	0.28247	0.4042	0.00469	0	2.34602	0.31761	0.1367	0.00708	0.00924	0.53217	0.0836	0.03695	0.12998	0.04789	0.00268	0.02031	0.2838	0.13167	0.61298	0.04642	0.0149	0.13618	0.04562	0.20523	0.00662	0.02481	2.14907	0.14613	0.02899	0	0	0.06661	0.01214	0.21441	0.29252	0	0.24817	0.03963	0.00435	0.44653	0.8592	0.63807	0.12723	0.0574	0	0	0.0498	0.80719	0.21667	0.00376	0	0.20297	0.07419	0.08897	0.18584	0.00665	0.2065	0.07449	0.23673	0.02719	0.00153	0	0.43257	0.03323	0	0.0021	0.07799	0.39847	1.97278	0.06659	0.08125	0.03021	1.02366	0.08711	0.53834	0.19778	1.00988	0.28813	0.06736	0.0248	0.83194	0.19939	0	0.0137	0.15461	0.00474	0.00203	0.00981	0.15091	0.08417	1.22484	0.07473	0.03695	0.10772	0.11603	1.66216	0.02331	0.11922	0.0139	1.12702	1.44159	0	0.06515	0.09056	0.01386	0.96031	0.05198	0.99349	0.15117	0.17878	0.13112	0.02199	0.08563	0.25017	0.00728	0.38147	0.10187	0.04017	0.73914	0.0164	0.09699	1.42017	0.11243	0.17696	0.39266	0.00523	0.02684	0.43003	0.2522	0.23688	2.51991	0	0.0774	0	0.01448	0.01198	0.40867	0.29927	1.84869	0.0454	0.00697	0.10867	2.58461	2.77036	0.10085	0.31505	0.12196	0	0.08342	0.03204	0.61842	0.0296	1.49823	0.05399	2.77928	0.0079	0.03878	4.23871	3.49522	0	1.76973	0.51008
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.07191	0.00557	0.1956	0.02409	0.31252	0.32481	0.01687	0.17034	0.07881	0.05621	0.31826	1.37481	1.26407	0.04435	0.07408	0.07712	0.5248	0.27405	0.70757	0.09048	0.51861	1.23761	0.32559	0.23002	0.37033	4.30039	0.09156	0.07482	0.1009	0.23528	0.33642	0.06622	0.16702	0.15276	0.2223	0.07617	0.41707	0.1469	0.01651	0.00345	0.9253	0.72699	3.11463	0.01213	0.01692	2.72203	0.25401	0.00802	0.05522	0.20715	0.06554	0.03457	0.05733	0.09731	0.25825	0.10931	0.0202	0.71981	0.77505	0.13696	0.03417	0.01904	3.05218	0.41816	0.04794	0.01259	0.42876	0.38881	0.09422	0.03349	0.26591	0.19219	0.48203	0	0.2487	0.38666	0.40761	1.43068	0.07968	0.06291	0.13935	0.84688	0	0.77715	0.37016	0.08797	0.02025	0.04286	1.01514	0.03954	0.0321	0.20187	0.16313	0.26886	0.18253	0.05021	0.107	0.02423	0.51786	0.31822	0.18955	0.24078	0	0.26764	0.13999	0.50408	0.09442	0.25132	0.10797	1.02237	0.51213	1.69186	0.0235	1.09594	0.27195	0.36835	0.15633	0.90955	0.64235	1.91967	0.39488	0.46154	0.50276	0.14314	0.10165	0.10267	0.14881	0.07017	0.07542	1.76435	0.34982	0.4909	0.25117	0.03608	0.20828	6.59531	3.23171	0.27455	1.98055	1.02334	0.11425	0.04395	5.62599	0.28558	0.11286	0.33388	0.17887	0.25753	0.03708	0.20728	0.18712	0.06351	0.06542	0.10014	0.08145	0.11657	5.62193	2.06428	1.7746	0.81393	0.30932	0.0616	0.48755	0.13091	1.7109	0.4036	0.29186	0.08975	0.1068	0.36188	1.89003	0.42952	0.07479	0.36004	0.42573	0.28837	0.27046	0.60827	1.67816	1.06561	2.6336	0.28617	0.72171	0.07812	0.00665	0.35088	0.02816	0.88939	0.2692	4.11091	1.3087	0.56477	0.4785	0.64229	0.07113	2.80833	0.2909	0.26879	0.14717
