non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875	1.21375	0.45193	0.45823	1.43884	0.10948	0.15577	0.01464	0.11351	0.29427	0.14615	0.15762	0.57115	0.26065	0.50388	0.33651	0	1.17196	0.03835	0.10598	0.10065	1.97522	0.72068	0.25611	0.09694	0.2117	0.10501	0.37561	0.07807	0.11515	0.69939	0.03411	0.12227	0.48162	0.18243	0.09708	0.56932	6.98726	0.25604	0.68199	0.86498	0.36985	0.18109	2.12914	0.29896
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified	1.19944	0	0	0.38256	0.02341	0.23964	0	0.04547	0	0	0.45888	3.15923	0.00909	0.61401	0.07363	0	0	0.01071	0.05122	0.06341	0	0.16225	0	0	0	0.02895	0.01461	1.87071	0.07174	0.01123	0.00047	0	0	0	0	0.66239	0	0	0.13008	0	0.03695	0.08922	0.42367	0.02319
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified	1.11004	0.62253	0.88009	0.70012	0.32919	0.43398	0.00424	0.27903	0.22056	0.89314	0.18954	0.39138	0.55701	0.13706	1.22803	0	0.18108	0.19279	0.23175	0.45186	0.84741	0.34118	0.07712	0.137	0.33512	0.26857	0.24354	0.10438	0.63761	0.64032	0.1057	0.6421	1.2832	0.88618	0.24554	0.58499	2.12264	1.08917	2.2434	1.19189	1.00249	0.83378	0.78457	0.17619
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__Haemophilus_parainfluenzae_unclassified	0.99181	0.61184	1.28175	0.48786	2.17219	2.87595	0.0067	0.02914	0.19074	1.49274	1.03962	0.02021	0.56529	0.01699	1.94805	0.31884	6.22713	0.08048	0.00336	0.34549	0.27007	0.53215	3.57823	0.49348	0.36323	0.1429	0.20551	0.78011	0.69142	0.09334	1.10792	2.03517	0.25282	1.97348	8.49404	3.58093	6.95748	0.0887	0.52932	6.18537	1.1626	0.03971	0.0105	0.63995
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185	0.92425	2.66263	1.71298	2.08187	2.56447	4.63907	0.00273	1.96308	0.9089	1.75619	2.13641	4.44771	0.99601	3.73605	0.26321	0	0.33666	0.22152	7.2004	2.45565	3.77263	2.36621	0.28093	3.60172	8.72309	4.71782	0.8552	1.30249	1.98402	1.80818	4.70522	1.98715	5.80746	1.61832	1.09966	2.73861	0	0.04724	1.4869	1.81139	1.49011	6.15991	1.62653	2.42909
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975	0.88489	0.34755	0.11949	0.17027	0.08219	0.13346	0	0.1561	0.29588	0.136	0.05214	0.39507	0.07502	0.35406	0.06201	0	0.19309	0.08327	0.23448	0.49316	0.11745	0.16571	0.02893	0.2373	0.13014	0.57151	0.09123	0.00821	0.50622	0.15792	0.30149	0.03829	1.84411	0.02671	0.05982	0.53557	0.04137	0.85317	0.65438	0.25944	0.43327	0.1397	3.31922	0.05753
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified	0.65032	0.25113	0.21269	0.43196	0.14328	0.1665	0.00233	0.29634	0.12841	0.14547	0.21252	0.45976	0.51219	0.51409	0.18691	0	0.51664	0.11642	0.07747	0.32956	0.2931	0.21856	0.1101	0.11783	0.36009	0.13542	0.06721	0.07439	0.61194	0.23749	0.1322	0.39291	1.01183	0.54898	0.27246	0.98799	0.44629	0.14204	0.7335	0.65808	0.30407	0.23658	0.72116	0.02974
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme|t__GCF_000156655	0.49335	1.4695	0.27517	1.1941	2.83834	0.79043	0.35865	0.33514	0.09856	0.30564	0.14926	0.53123	0.44921	1.87498	0.43976	0	0	0.50521	0.45283	0.98523	5.42353	0.80792	0.69485	0	0.76304	0	0.49266	0	0.50739	1.03083	0	1.30662	4.52833	1.74927	2.41802	0.61573	0	0.57858	7.58267	1.77369	0.63771	0.37903	3.68887	0.20661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345	0.27851	0.07629	0.25499	0.38047	0.27712	0.1161	0.00633	0.12608	0.05266	0.04794	0.00079	0.10196	0.2124	0.03703	0.76104	0	0.14939	0.19783	0.01552	0.00539	0.46338	0.08824	0.00158	0.08166	0.06024	0.06094	0.10246	0.01408	0.00166	0.08144	0.00425	0.49607	0.14455	0.5456	0.01703	0.03001	0.48801	0.01759	0.05573	0.00542	0.03745	0	0.13759	0.10405
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified	0.24615	0	0	0.51223	0.63459	0.92366	0.04039	0	0.44444	0	0.30933	0	0.90458	0.47768	0.62949	0.44715	0	0.93967	0.609	0.40884	0	0.04991	0	0.05832	0.53195	0.77933	0.10697	0.40781	0.03339	0.90946	0.24874	1.26203	3.1087	1.31357	0	0.2467	0.66797	0	1.23349	0.54385	0	0.42748	0.71806	0.25066
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	0.21439	0.07865	0.41548	0.39221	0.21388	0.29146	0.07591	0.29303	0.19945	0.14786	0.06686	0.40687	0.12829	0.16704	0.56169	0	0.20328	0.38694	0.08131	0.24328	0.13557	0.07671	0.07564	0.07822	0.12294	0.04535	0.02573	0.06456	0.26094	0.14962	0.00535	0.12242	0.25414	0.21367	0.08414	0.21006	1.17086	0.64677	0.34289	0.97082	0.42101	0.15955	0.61133	0.01142
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525	0.21144	0.07429	0.07863	0.29456	0.00595	0.00574	0	0.00755	0.01042	0.03166	0.00856	0.05944	0.00136	0.03548	0	0	0.4185	0.02844	0.00653	0.03344	0.00457	0.01318	0.00282	0.01053	0.0716	0.07581	0.02244	0.06258	0	0.01117	0.00403	0.2607	0.64905	0.35493	1.84333	0.00957	0	0.12759	0.00842	0.00921	0.01486	0	0.05725	0.00663
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__GCF_000210555	0.18623	0.07677	0.11321	0.08503	0.0671	0.09155	0.00436	0.12906	0.02398	0.01205	0.03667	0.13794	0.07867	0.02676	0.13634	0	0.04767	0.00604	0.03352	0.12467	0.15585	0.13853	0.02126	0.04416	0.08298	0.09464	0.11457	0.03573	0.04941	0.03418	0.01151	0.01696	0.19547	0	0.00735	0.25518	0	0.19252	0.27725	0.06042	0.09804	0.02749	0.29669	0.16232
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified	0.184	0.00919	0.07577	0.01698	0.20984	0.50795	0.0078	0.29773	0	0.55793	0.01869	0.02641	0.08668	0.02192	0.1441	0.01354	8.28372	0.03586	0.01816	0.00759	0.27054	0.04235	5.53393	0.11243	0.05879	0.04363	0.0302	0.10006	0.02908	0.05883	0.20956	0.10819	0.01733	0.13603	9.23378	0.07824	0.50867	0.09722	0.15865	4.02306	0.0351	0	0.00469	0.01099
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified	0.1651	0.30453	0.05894	0	0.60298	3.54626	12.34968	0.57344	2.17803	0.03933	0.27485	0.65654	0.21352	0	0.49983	8.84095	0.42498	0.13609	0.05217	0.15689	0.04798	0.84289	0	0.10018	0	0.78422	0.0116	1.4563	0.93136	1.29567	0.26399	0.06573	0.31072	0.02712	19.82059	0.86427	9.31116	0.89055	4.64585	1.57944	0.55407	0.25891	1.67429	0.64357
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified	0.14069	0	0.12905	0.27841	0.42155	0.04428	0.06783	0.01084	0	0.12734	0.01785	0	0	0.00433	0.3142	0.07962	7.89043	0.02521	0.01843	0.47348	0.74837	1.45245	4.74831	0.02898	0.30193	0.1976	0.01617	0.56098	0.43724	0	1.47923	4.06676	0.27832	4.3235	2.45191	0.03882	0.38731	0.10877	0.40793	1.51205	0.01136	0	0	0.00541
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875	0.13131	0.03039	0.02778	0.0345	0	0	0	0	0	0.018	0	0.01862	0	0.00119	0	0	0.03223	0.01378	0	0	0	0	0	0.0059	0.02189	0.01967	0.00377	0.03041	0	0	0	0.01183	0.86218	0.01217	0.14025	0.00168	0	0.06409	0	0.00412	0.01856	0	0.00247	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella|s__Shigella_sonnei|t__Shigella_sonnei_unclassified	0.11647	0.02653	0	0	0	0	0.00782	0	0	0	0.03028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02501	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii|t__GCF_000283495	0.09946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified	0.09405	0	0.14551	0.12227	0.1214	0.00155	0.09363	0.08889	0	0.08043	0	0	0	0	0.00419	0.07636	0.60719	0.02104	0	0.31397	0.2647	0.2138	2.34184	0.08278	0.057	0.1109	0.02476	0.17808	0.24968	0	0.2454	2.3353	0.05381	2.09509	0.91876	0.04977	0.09948	0	0.0684	0.76079	0.05602	0	0.05897	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis|t__Streptococcus_australis_unclassified	0.08321	0	0.02357	0.03951	0.01075	0.16589	0.0131	0.00658	0	0.08246	0.19511	0	0.1551	0.01314	0.33213	0.03213	0.0593	0.01163	5e-04	0.07027	0.04524	0.03045	0	0.03419	0.00299	0	0	0.00245	0.00483	0	0.01507	0.05444	0	0.09453	0.00385	0	0.29934	0	0.02043	0.0811	0	0	0	0.02664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345	0.06208	0.01241	0.32985	0.3953	0.07138	0.71521	0	0.19918	0.01372	0	0.01854	0.14664	0.52896	0.57818	0.00493	0	0	0.01378	0.00415	0.66698	0	0.0725	0.0287	0	0.21179	1.0309	0.0016	0.04286	0	0.0843	0	0.10539	3.80699	0.07417	0.00854	0.28664	0.01752	0.21908	0	0.00074	0.02835	0	0.10944	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__Veillonella_atypica_unclassified	0.04605	0	0.15435	0.03804	0.04824	0.01976	0.02213	0.07282	0	0.08156	0.00156	7e-04	0.03157	0	0.0263	0.00563	3.32017	0.11309	0.00322	0.02104	0.02672	0.05009	0.38566	0.11295	0.01338	0.04562	0.08614	0.09204	0.02854	0	0.22705	0.21855	0.00873	0.23882	0.79243	0.02364	0.00897	0.05625	0.0223	1.04614	0.13202	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__Parabacteroides_distasonis_unclassified	0.04328	0.5781	0	0.15361	0.01391	0.02415	0.71279	0.02044	0.0405	0.0267	0.05235	0	0.0322	0.27488	0.01169	0.43174	0.08477	0.18938	0.0047	0.07327	0.01497	0.03791	0.06542	0	0.60714	0.10285	0.01987	0	0	0	0.03939	0.06233	0.37426	0.04233	0.04834	0.00825	0.23584	0.26628	0.89728	0.03793	0.02117	0.02507	0	0.0282
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified	0.0411	1.0499	0.00461	0.08138	0.04287	0.27376	8.12556	0.13252	0.07426	0.25334	1.4729	1.31936	0.44825	1.62287	0.02373	0.09563	1.71811	0.08171	0.35229	0.28942	0.0541	0.32163	0.02234	0.44281	3.39734	3.39839	0	0	0.02412	0.03875	1.72629	0.20094	1.31162	0.21377	5.69486	0.55072	0	9.1052	4.30975	0.40328	1.11009	0.08806	2.7811	4.89251
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli|t__Brachyspira_pilosicoli_unclassified	0.0224	0	0	0	0	0	0	0	0	0	0	0	0	0.27337	0	0	0	0	0	0	0	0	0.59379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar|t__GCF_000160015	0.02225	0	0.11127	0.01594	0.22104	0.03458	0.03897	0.06626	0	0.23515	0.01256	0.00541	0.08105	0	0	0.00234	2.43331	0.08601	0	0.03463	0.04583	0.02029	1.19135	0.11811	0.04213	0.05448	0.03835	0.21131	0.18133	0	0.26011	0.23851	0.04581	0.17547	2.50807	0.06948	0.05813	0.0157	0.03152	0.53629	0.04431	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum|t__Haemophilus_sputorum_unclassified	0.02084	0.01843	0.02211	0	0	0.17082	0	0	0	0	0.02342	0	0	0	0.14212	0	0.03344	0	0	0	0	0	0	0	0.01433	0	0	0.00547	0	0	0	0.00757	0	0.00146	0.00125	0.00156	0.26969	0	0	0.00463	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus|t__GCF_000468015	0.02022	0	0.50108	0	0	0.00147	0	0.00403	0	0	0.01419	0.0014	0.03088	0.00209	0.08358	0	0	0.16609	0	0.45954	0.00943	0	0.00446	0.05602	0.1578	0.08987	0.00126	0.03206	0.61435	0.00957	0	0	0.0562	0	0.00367	0.35126	0	0	0.01182	0.02856	0.05656	0.01395	0.13631	0.08601
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA|t__GCF_000218465	0.01639	0	0	0	0	0	0	0.00023	0.03453	0.00311	0.00363	0.00376	0.0688	0	0	2.54231	0.03413	0	0	0.00335	0.00161	0.04367	0.00553	0	0	0.0708	0	0	0.00933	0	0	0.00255	0.7365	0	0.26188	0	0.20914	0.00238	0.01422	0.05677	0.04845	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified	0.01034	0	0.06136	0.02361	0.01835	0.00517	0.01052	0	0	0.01308	0.00156	0	0	0	0.07351	0.00673	0.08929	0	0	0.01364	0.00164	0	0.04785	0	0	0	0	0.01127	0.01779	0	0.03768	0.29155	0.03342	0.35178	0.17661	0.01751	0.0117	0	0.01186	0	0	0	0	0.00013
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575	0.00863	0.29603	0.07506	0.12268	0	0	0.01588	0.19083	0.08219	0.47642	0.28187	1.30286	0.87687	1.26063	0.01556	0	0	0.36819	0.13866	1.25638	0	0.11177	0.03022	0.15558	1.03293	0.32426	0.02458	0.61877	0.00521	0	2.34818	0.20438	0.2842	0.21476	0.00291	0.05457	0	1.94908	0.06559	0.14311	0.00241	0	0.30571	0.10559
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__Parabacteroides_goldsteinii_unclassified	0.00778	0.01623	0	0	0	0	0.01282	0	0	0.00844	0.09211	0.36163	0	0.00782	0	1.56535	0	0.01979	0	0	0	0.01701	0	0.00447	0.2887	1.42425	0.0612	0.20758	0	0	0.36756	0	0	0	0	0	0	0	0	0	0	0	0	0.06791
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified	0.00289	0.36842	0	0	0.00112	0.06293	1.65683	0.03912	0.23222	0	0	0.12723	0.08905	0	0	0.02928	0	0.05835	0.05219	0.11632	0	0.05147	0.00326	0.09727	0.12831	0	1.13563	0	0	0	0.46275	0.01314	1.57844	0.01233	0	0.00913	0	0	0.02148	0.04771	0.10111	0.00847	0	1.4497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii|t__Bacteroides_eggerthii_unclassified	0.00247	0	0	0	0.04394	0	0.17086	0	0	0	0.38501	0.0099	0.78428	0	0	0	0	0.07459	0	0	0	0	0	0.02759	0.64822	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23578	0	0	0	0	3.52924
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified	0.00126	0.00322	0.01743	0.02283	0.05111	0.28134	0.10061	0.01655	0	0.1357	0.04802	0	0.00203	0.01167	0.09726	0.01908	0.03479	0	0	0	0	0.04717	0	0.05452	0.00912	0.02597	0.00516	0.01203	0.00604	0	0	0.10154	0	0.10839	0.10249	0.00577	0	0	0	0	0	0	0.0023	0.00056
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225	8e-04	0	0	0	0.00092	0	0	0	0	0	0.1284	4.27496	0.81251	1.96576	0	0.4001	0	0	0.23393	3.74108	0	0.00328	0.03873	0.22398	0.43834	0.30647	0.05074	2.55338	0	0.07139	0.00177	0	0	0	1.54563	0.04321	0	0	0	0	0.04454	0	0	0.08565
k__Bacteria|p__Fusobacteria	0	4.62232	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0.00425	0	0	0	0	0.00745	0	0	0.18778	0	0	0	0	0	0.00531	0.05919	0	0.02419	0.07912	0	0.01353	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	4.62232	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0.00425	0	0	0	0	0.00745	0	0	0.18778	0	0	0	0	0	0.00531	0.05919	0	0.02419	0.07912	0	0.01353	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0	0.07789	0.07097	0.33307	0.01594	0.00873	0.07732	0.04264	0.09302	0.00577	0.06806	0.09641	0.03621	0.04165	0.23326	0	0	0	0.05966	0.1184	0.09411	0.02274	0	0.00994	0.12766	0.00033	0.11925	0.18263	0.33769	0.16239	0.14552	0	0.53689	0.00199	0.01198	0.12038	0	0.08545	0.09802	0.04302	0.00856	0	0.12753	0.10868
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	4.62232	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0.00425	0	0	0	0	0.00745	0	0	0.18778	0	0	0	0	0	0.00531	0.05919	0	0.02419	0.07912	0	0.01353	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0	0.07789	0.07097	0.33307	0.01594	0.00873	0.07732	0.04264	0.09302	0.00577	0.06806	0.09641	0.03621	0.04165	0.23326	0	0	0	0.05966	0.1184	0.09411	0.02274	0	0.00994	0.12766	0.00033	0.11925	0.18263	0.33769	0.16239	0.14552	0	0.53689	0.00199	0.01198	0.12038	0	0.08545	0.09802	0.04302	0.00856	0	0.12753	0.10868
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	4.62232	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00745	0	0	0.18778	0	0	0	0	0	0	0	0	0	0	0	0.01353	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	2.23229	0	0	0.39298	0.16684	0	0.10707	0	0.08208	0.07948	0.1489	0.08641	0.02324	0	0.16453	0.04861	0.0884	0.11941	0.34738	0.22425	0.3832	0.05948	0.02897	0.04146	0	0.06527	0.00473	0.22808	0.10039	0.02376	0	0.0757	0	0.14588	0.41578	0.21812	0.08909	0.14361	0.44433	0.21806	0.18736	0.03185	0.00778
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0	0.09902	0	0	1.13395	0.00101	0.02028	0.0604	0	0.17216	0.21297	1.05286	0	0.59995	9.26334	5.84225	0.02117	0	1.34779	0.48977	0.20559	0.13619	0	0.20252	0	0	0	0.02804	11.4339	0	0	0	0	0	0.01924	0.0675	0.3167	0	0.01867	0.06031	0.5269	0.1049	1.93624	0.12137
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0	0.07789	0.07097	0.33307	0.01594	0.00873	0.07732	0.04264	0.09302	0.00577	0.06806	0.09641	0.03621	0.04165	0.23326	0	0	0	0.05966	0.1184	0.09411	0.02274	0	0.00994	0.12766	0.00033	0.11925	0.18263	0.33769	0.16239	0.14552	0	0.53689	0.00199	0.01198	0.12038	0	0.08545	0.09802	0.04302	0.00856	0	0.12753	0.10868
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0.04705	0.04392	0.00689	0.04019	0.01409	0.00616	0.07234	0.04812	0.01386	0	0.06556	0.03892	0.01191	0.02296	0.05405	0	0.01195	0.06102	0.10833	0.04425	0.00267	0.01907	0.03915	0.04463	0.01014	0.00063	0.02281	0	0.05087	0	0.0095	0	0	0.01031	0.00676	0.02548	0.01035	0	0.01201	0.03274	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0	4.75141	0	0	0.77246	0	2.09412	0.57415	0	0	0.82291	0.00099	0	0	1.8649	0	1.14228	0.59144	0	0.67904	0	0	0	0	1.44396	0	0	0	0	0	0.00714	0	0.15471	0	0.04883	0	0	0.12114	0.35643	0.01398	0	0	0	0.08861
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	4.62232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00745	0	0	0.18778	0	0	0	0	0	0	0	0	0	0	0	0.01353	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	0	2.8695	0	0	0	0.00241	65.43963	0	0	0	0	0.24938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61164	0.90716	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0	2.23229	0	0	0.39298	0.16684	0	0.10707	0	0.08208	0.07948	0.1489	0.08641	0.02324	0	0.16453	0.04831	0.0884	0.11941	0.34738	0.22425	0.3832	0.05948	0.02897	0.04146	0	0.06527	0.00473	0.22808	0.10039	0.02376	0	0.0757	0	0.14588	0.41578	0.21812	0.08909	0.14361	0.44433	0.21806	0.18736	0.03185	0.00778
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0	0.74995	0.07993	0.63305	0	0	0.09819	0.2977	0.0283	0.66857	0.57552	1.50954	0.24163	0.89384	0	0	0	0.13366	0.5935	0.95514	0	0.08472	0.01565	0.39824	0.21385	0.48218	0.15845	1.05538	0	0	2.1634	0.00618	1.66975	0.02811	0.01204	0.88974	0	2.86098	0.12179	0.01069	0	0	0	0.16027
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0	0.09902	0	0	1.13395	0.00101	0.02028	0.0604	0	0.17216	0.21297	1.05286	0	0.59995	9.26334	5.84225	0.02117	0	1.34779	0.48977	0.20559	0.13619	0	0.20252	0	0	0	0.01938	11.4339	0	0	0	0	0	0.01924	0.0675	0.3167	0	0.01867	0.06031	0.5269	0.1049	1.93624	0.12137
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0	0.07789	0.07097	0.33307	0	0	0.07732	0.03348	0	0	0.00431	0.04858	0	0.00538	0.18265	0	0	0	0.05966	0.03532	0.09411	0.02274	0	0.00994	0.12766	0.00033	0.08631	0.15083	0.27656	0.04678	0.10119	0	0.53689	0.00199	0.01198	0	0	0.08545	0.09802	0.0346	0	0	0.07014	0.10868
