	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens|t__Ruminococcus_flavefaciens_unclassified	0	0	0	0	0.00524	0.00345	0	0.00071	0	0.01402	0	0	0	0.01752	0	0	0	0.00793	0.00346	0	0.01121	0.00227	0	0.01198	0	0.00191	0	0	0	0.00972	0	0	0	0.03148	0.00139	0	0.02521	0.03354	0	0	0	0	0	0	0	0.00229	0	0	0	0.00226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345	0	0	0	0	0.00132	0	0	0.01791	0.00081	0.00158	0	0	0	0.00422	0	0.03786	0	0	0	0.02156	0	0	0.00377	0.01824	0	0.01181	0	0	0	0.0053	0	0	0	0.03037	0	0.03398	0	0	0	0	0	0	0.00497	0	0	0	0	0	0	0.00478
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_4_1_37FAA|t__GCF_000191805	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Parvoviridae	0	0	0	0	0	0.08801	0.04626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18889	0	0	0	0	0	0	0	0	0	0	0.06679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae	0	0	0	0	0	0.00363	0	0	0.0183	0.00683	0	0	0	0	0.62724	0.10617	0.00252	0	0.09475	0	0.12573	0	1.63486	0.07605	0	0.2012	0.00069	0	0.47742	0.03787	0	0	0	0.00646	0.11038	0	0	0	0	0	0.703	0	0	0	0.21631	0.01841	2.03808	0.2067	0	0.04841
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Parvoviridae|g__Dependovirus	0	0	0	0	0	0.08801	0.04626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18889	0	0	0	0	0	0	0	0	0	0	0.06679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira	0	0	0	0	0	0.00363	0	0	0.0183	0.00683	0	0	0	0	0.62724	0.10617	0.00252	0	0.09475	0	0.12573	0	1.63486	0.07605	0	0.2012	0.00069	0	0.47742	0.03787	0	0	0	0.00646	0.11038	0	0	0	0	0	0.703	0	0	0	0.21631	0.01841	2.03808	0.2067	0	0.04841
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Parvoviridae|g__Dependovirus|s__Adeno_associated_virus_2	0	0	0	0	0	0.08801	0.04626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18889	0	0	0	0	0	0	0	0	0	0	0.06679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_unclassified	0	0	0	0	0	0.00363	0	0	0.0183	0.00593	0	0	0	0	0	0.00996	0.00252	0	0.06487	0	0	0	0	0.07605	0	0.00725	0.00069	0	0	0.0186	0	0	0	0.00646	0.06757	0	0	0	0	0	0	0	0	0	0	0.00472	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Parvoviridae|g__Dependovirus|s__Adeno_associated_virus_2|t__PRJNA14060	0	0	0	0	0	0.08801	0.04626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18889	0	0	0	0	0	0	0	0	0	0	0.06679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	0	0	0	0	0	0.02699	0	0	0	0.0222	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0.03333	0	0.01906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	0	0	0	0	0	0	0.33565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0	0	0	0	0	0	0.02699	0	0	0	0.0222	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0.03333	0	0.01906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter	0	0	0	0	0	0	0.33565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0	0	0	0	0	0	0.02699	0	0	0	0.0222	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0.03333	0	0.01906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1	0	0	0	0	0	0	0.85682	0	0	0	0	0	0	2.14641	0	0	0	0.60363	0	0	0	0	0	0	0	1.25882	0.0579	0	0	1.1377	0	0	0	0	0	1.97071	0	0	0	0	0.48873	0	0	0	0	0	0	0	0	0.54703
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_fennelliae	0	0	0	0	0	0	0.33565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0	0	0	0	0	0	0.04495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	0	0	0	0	0	0	0.0197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	0	0	0	0	0	0	0.00944	0	8.34565	0	0	0	0	0	0.84747	1.7447	0	1.25173	0.24473	0.92607	0.06157	0.88963	2.89792	2.73678	0	0.11232	0.03931	0	2.00718	0.76378	0.50321	0.44886	0.00066	3.1039	0	1.33253	3.6998	1.75256	0	0	4.64494	0	0	0	0.2865	0	0	0	0.00478	0.37945
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_unclassified	0	0	0	0	0	0	0.00729	0	0	0	0.0222	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0.02709	0	0.01315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0	0	0	0	0	0	0.00547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26635	0	0	0	0	0	0.0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08103	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023	0	0	0	0.00203	0.01733	0	0	0	0	0.00735	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1|t__GCF_000210595	0	0	0	0	0	0	0.85682	0	0	0	0	0	0	2.14641	0	0	0	0.60363	0	0	0	0	0	0	0	1.25882	0.0579	0	0	1.1377	0	0	0	0	0	1.97071	0	0	0	0	0.48873	0	0	0	0	0	0	0	0	0.54703
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__GCF_000210035	0	0	0	0	0	0	0.54716	0	0	0	0	0	1.13122	0	0	0	0	0	0	0	0	0	0	0	1.15585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67659	0	0	0	0	0	0	1.71126	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_fennelliae|t__GCF_000509365	0	0	0	0	0	0	0.33565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis|t__Streptococcus_australis_unclassified	0	0	0	0	0	0	0.04495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens|t__Neisseria_flavescens_unclassified	0	0	0	0	0	0	0.0197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum|t__GCF_000156635	0	0	0	0	0	0	0.00944	0	8.34565	0	0	0	0	0	0.84747	1.7447	0	1.25173	0.24473	0.92607	0.06157	0.88963	2.89792	2.73678	0	0.11232	0.03931	0	2.00718	0.76378	0.50321	0.44886	0.00066	3.1039	0	1.33253	3.6998	1.75256	0	0	4.64494	0	0	0	0.2865	0	0	0	0.00478	0.37945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis|t__Streptococcus_vestibularis_unclassified	0	0	0	0	0	0	0.00547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26635	0	0	0	0	0	0.0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08103	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023	0	0	0	0.00203	0.01733	0	0	0	0	0.00735	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum|t__Haemophilus_sputorum_unclassified	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0	0	0	0.04884	0	0	0	0	0.00175	0	0.0872	0.03616	0	0	0	0	0	0.00666	0	0	0.00518	0	1.24498	0.03617	0	0.02521	0	0	0.03478	0	0	0	0.01669	0	0.10483	0	0	0.00245	0	0	0	0.0099	0.05027	0.07166	0.0411	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0	0	0	0	0	0	0	0.02893	0	0	0	0	0	0	0.0872	0	0	0	0	0	0	0	0	0	0.00518	0	1.22638	0.03617	0	0.02521	0	0	0.00479	0	0	0	0.01669	0	0.0113	0	0	0.00245	0	0	0	0.0099	0	0.07166	0.0397	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0	0	0	0	0	0	0	0.01992	0	0	0	0	0.00175	0	0	0.03616	0	0	0	0	0	0.00666	0	0	0	0	0.01861	0	0	0	0	0	0.02999	0	0	0	0	0	0.09353	0	0	0	0	0	0	0	0.05027	0	0.0014	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0	0	0	0	0	0	0	0.02893	0	0	0	0	0	0	0.0872	0	0	0	0	0	0	0	0	0	0.00518	0	1.22638	0.03617	0	0.02521	0	0	0.00479	0	0	0	0.01669	0	0.0113	0	0	0.00245	0	0	0	0.0099	0	0.07166	0.0397	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Enhydrobacter	0	0	0	0	0	0	0	0.01992	0	0	0	0	0.00175	0	0	0.03616	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05027	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0	0	0	0	0	0	0	0.00802	0	0	0	0	0	0.00528	0	0	0	0	0	0	0	0	0	0.00216	0.0253	0	0.00016	0	0	0	0	0	0	0.00623	0	0.02639	0	0.06021	0.02695	0	0	0.00071	0	0	0	0	0	0	4e-04	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified	0	0	0	0	0	0	0	2.2117	0	0	0	0	0	0	0	0.04104	0	0	0	0	0	0	0.47915	0	0	0	0	0.08275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14288	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304	0	0	0	0	0	0	0	0.55546	0	0	0	0	5.04667	0	0	0	0	0	0	0	0	0	0	0	0.72258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41247
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA	0	0	0	0	0	0	0	0.04709	0	0	0.11357	0	0	0	0	0	0	0	0.01539	0	0	0	1.17166	0	0	0	0.00174	0.07915	0.00193	0.07799	0	0	0	0	0.00572	0	0	0	0	0	0	0.04238	0	0	0	0	0.11015	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	0	0	0	0	0	0	0	0.02893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03569	0	0.02521	0	0	0	0	0	0	0.01669	0	0.0113	0	0	0	0	0	0	0	0	0.07166	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Enhydrobacter|s__Enhydrobacter_aerosaccus	0	0	0	0	0	0	0	0.01992	0	0	0	0	0.00175	0	0	0.03616	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05027	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae	0	0	0	0	0	0	0	0.00802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0.00551	0	5e-05	0	0	0	0	0	0	0.00623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0.5151	0	0	0.10093	0	0.04421	0	0	0	0.00946	0	0.1663	0	0.00111	0.01076	0	0	0.31438	0.42649	0	0	0	0.08283	0.00699	0	0	0	0.02506	0	0	0	0.02763	0.03335	0	0.1726	0	0.15817
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_multisaccharivorax	0	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148	0	0	0	0.00191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304|t__GCF_000285855	0	0	0	0	0	0	0	0.55546	0	0	0	0	5.04667	0	0	0	0	0	0	0	0	0	0	0	0.72258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41247
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405	0	0	0	0	0	0	0	0.04709	0	0	0.11357	0	0	0	0	0	0	0	0.01539	0	0	0	1.17166	0	0	0	0.00174	0.07915	0.00193	0.07799	0	0	0	0	0.00572	0	0	0	0	0	0	0.04238	0	0	0	0	0.11015	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Enhydrobacter|s__Enhydrobacter_aerosaccus|t__GCF_000175915	0	0	0	0	0	0	0	0.01992	0	0	0	0	0.00175	0	0	0.03616	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05027	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae|t__GCF_000372405	0	0	0	0	0	0	0	0.00802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0.00551	0	5e-05	0	0	0	0	0	0	0.00623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis|t__GCF_000312145	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0.5151	0	0	0.10093	0	0.04421	0	0	0	0.00946	0	0.1663	0	0.00111	0.01076	0	0	0.31438	0.42649	0	0	0	0.08283	0.00699	0	0	0	0.02506	0	0	0	0.02763	0.03335	0	0.1726	0	0.15817
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_multisaccharivorax|t__GCF_000218235	0	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148	0	0	0	0.00191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	0	0	0	0	0	0	0	0	0.04503	0	0	0	0.00642	0.00367	0	0.00292	0	0	0	0	0.04293	0.56127	0	0	0.51232	0.00914	0	0	0.00429	0	0	0	0	0	0	0.00048	0	0	0	0	0.03906	0	0	0.00368	0.0142	0.19561	0.00773	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis	0	0	0	0	0	0	0	0	0.01426	0	0	0	0.05913	0.01089	0.01224	0	0	0	0	0	0	0.14638	0	0	0	0	0.00213	0	0	0	0	0	0	0	0	0.07284	0	0	0	0	0.00848	0	0	0	0	0.37375	0.00928	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_unclassified	0	0	0	0	0	0	0	0	0.00731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147	0	0.20892	0	0	0	0	0	0	0	0	0	0	0	0.00117	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum|t__Lactobacillus_plantarum_unclassified	0	0	0	0	0	0	0	0	0.04503	0	0	0	0.00642	0.00367	0	0.00292	0	0	0	0	0.04293	0.56127	0	0	0.51232	0.00914	0	0	0.00429	0	0	0	0	0	0	0.00048	0	0	0	0	0.03906	0	0	0.00368	0.0142	0.19561	0.00773	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis|t__Lactobacillus_brevis_unclassified	0	0	0	0	0	0	0	0	0.01426	0	0	0	0.05913	0.01089	0.01224	0	0	0	0	0	0	0.14638	0	0	0	0	0.00213	0	0	0	0	0	0	0	0	0.07284	0	0	0	0	0.00848	0	0	0	0	0.37375	0.00928	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0.62724	0.09621	0	0	0.02987	0	0.12573	0	1.63486	0	0	0.19395	0	0	0.47742	0.01926	0	0	0	0	0.04281	0	0	0	0	0	0.703	0	0	0	0.21631	0.01369	2.03808	0.2067	0	0.04841
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli|t__Brachyspira_pilosicoli_unclassified	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0.62724	0.09621	0	0	0.02987	0	0.12573	0	1.63486	0	0	0.19395	0	0	0.47742	0.01926	0	0	0	0	0.04281	0	0	0	0	0	0.703	0	0	0	0.21631	0.01369	2.03808	0.2067	0	0.04841
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0	0	0	0	0	0	0	0	0	0	0.01794	0	0	0	0	0	0	0	0.10037	0	0	0	0.0107	0	3.09743	0	0.1611	0.90326	0	0	1.02373	1.04108	0	0	0	0.10052	0.22671	1.10775	0.00578	0	0	0.00257	0	0	0	0	0	0	0.00063	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0	0	0	0	0	0	0	0	0	0	0.01543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00181	0.11185	0	0	0.43128	0.56276	0	0	0	0.16444	0	0	0	0	0	0	0	0	0	0.00673	0	0	0	0.02134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella	0	0	0	0	0	0	0	0	0	0	0.01261	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16236	0	0.05654	0.07886	0	0	0	0	0	0	0	0	0	0	0.00851	0	0	0.1134	0	0	0	0	0	0	0.33837	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0	0	0	0	0	0	0	0	0	0	0.00909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0097	0	0	0	0	0.10409	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0	0	0	0	0	0	0	0	0.00309	0	0	0	0	0	0.00973	0	0	0	0	0	0	0	0.00693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11403	0	0	0	0.14326	0	0	0	0	0.12594	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	0	0	0	0	0	0	0	0	0	0	0.01794	0	0	0	0	0	0	0	0.10037	0	0	0	0.0107	0	3.09743	0	0.1611	0.90326	0	0	1.02373	1.04108	0	0	0	0.10052	0.22671	1.10775	0.00578	0	0	0.00257	0	0	0	0	0	0	0.00063	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified	0	0	0	0	0	0	0	0	0	0	0.01543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00181	0.0745	0	0	0.363	0.41984	0	0	0	0.13433	0	0	0	0	0	0	0	0	0	0.00673	0	0	0	0.02134
