	CA_C10001IS2006FE_t1M15	CA_C10001IS2009FE_t2M15	CA_C10001IS2012FE_t3M15	CA_C10002MS2016FE_t0M15	CA_C10002IS2023FE_t2M15	CA_C10002IS2026FE_t3M15	CA_C10002IS2028FE_t4M15	CA_C10003MS2030FE_t0M15	CA_C10003IS2040FE_t3M15	CA_C10003IS2042FE_t4M15	CA_C10005MS2062FE_t0M15	CA_C10005IS2066FE_t1M15	CA_C10005IS2069FE_t2M15	CA_C10005IS2077FE_t4M15	CA_C10006IS2084FE_t1M15	CA_C10006IS2087FE_t2M15	CA_C10006IS2091FE_t3M15	CA_C10006IS2095FE_t4M15	CA_C10006IS2095FE_t5M16	CA_C10007MS2098FE_t0M15	CA_C10007IS2102FE_t1M15	CA_C10007IS2105FE_t2M15	CA_C10007IS2110FE_t3M15	CA_C10007IS2114FE_t4M15	CA_C10007IS2113FE_t5M16	CA_C10008IS2120FE_t1M15	CA_C10008IS2123FE_t2M15	CA_C10008IS2127FE_t3M15	CA_C10008IS2131FE_t5M16	CA_C10009IS2138FE_t1M15	CA_C10009IS2141FE_t2M15	CA_C10009IS2149FE_t4M15	CA_C10009IS2145FE_t3M16	CA_C10009IS2149FE_t5M16	CA_C10009MS2134FE_t0M15	CA_C10015IS2235FE_t3M15	CA_C10015IS2246FE_t1M15	CA_C10015IS2249FE_t2M15	CA_C10015MS2242FE_t0M15	CA_C10019IS2318FE_t1M15	CA_C10019IS2321FE_t2M15	CA_C10019IS2329FE_t4M15	CA_C10019IS2352FE_t3M15	CA_C10019MS2314FE_t0M16	CA_C10019IS2329FE_t5M16	CA_C10020IS2336FE_t1M15	CA_C10020IS2339FE_t2M15	CA_C10020IS2343FE_t3M15	CA_C10020MS2332FE_t0M15	CA_C10020IS2347FE_t4M15	CA_C10020IS2345FE_t5M16	CA_C10023IS2390FE_t1M15	CA_C10023IS2393FE_t2M15	CA_C10023MS2386FE_t0M15	CA_C10023IS2397FE_t3M15	CA_C10023IS2401FE_t4M16	CA_C10023IS2401FE_t5M16	CA_C10024IS2408FE_t1M15	CA_C10024IS2411FE_t2M15	CA_C10024IS2415FE_t3M15	CA_C10024IS2419FE_t4M15	CA_C10024IS2419FE_t5M16	CA_C10026IS2444FE_t1M15	CA_C10026IS2449FE_t2M15	CA_C10026IS2451FE_t3M15	CA_C10026MS2440FE_t0M15	CA_C10026IS2465FE_t4M16	CA_C10029IS2496FE_t1M15	CA_C10029IS2499FE_t2M15	CA_C10029MS2492FE_t0M15	CA_C10029IS2503FE_t3M15	CA_C10031MS2526FE_t0M15	CA_C10031IS2537FE_t3M15	CA_C10031IS2541FE_t4M15	CA_C10031IS2530FE_t1M15	CA_C10031IS2541FE_t5M16	CA_C10032IS2548FE_t1M15	CA_C10032IS2551FE_t2M15	CA_C10032IS2555FE_t3M15	CA_C10032IS2559FE_t4M15	CA_C10032IS2559FE_t5M16	CA_C10032MS2544FE_t0M15	CA_C10034IS2584FE_t1M15	CA_C10034IS2587FE_t2M15	CA_C10034MS2580FE_t0M15	CA_C10034IS2591FE_t3M15	CA_C10034IS2595FE_t4M15	CA_C10035IS2602FE_t1M15	CA_C10035IS2605FE_t2M15	CA_C10035MS2598FE_t0M15	CA_C10035IS2609FE_t3M16	CA_C10035IS2913FE_t4M16	CA_C10039MS2670FE_t0M16	CA_C10039IS2677FE_t2M16	CA_C10039IS2681FE_t3M16	CA_C10039MS2669SA_t0M15	CA_C10042MS2724FE_t0M16	CA_C10042IS2731FE_t2M16	CA_C10042IS2735FE_t3M16	CA_C10042IS2739FE_t4M16	CA_C10042IS2739FE_t5M16	CA_C10043IS2749FE_t2M16	CA_C10043MS2742FE_t0M16	CA_C10049IS2854FE_t1M16	CA_C10049IS2861FE_t3M16	CA_C10049IS2866FE_t4M16	CA_C10049IS2866FE_t5M16	CA_C10049IS2857FE_t2M16	CA_C10049MS2850FE_t0M16	CA_C10052MS2904FE_t0M16	CA_C10052IS2908FE_t1M16	CA_C10052IS2911FE_t2M16	CA_C10052IS2915FE_t3M16	CA_C10052IS2920FE_t5M16	CA_C10055IS2962FE_t1M16	CA_C10055IS2965FE_t2M16	CA_C10055IS2969FE_t3M16	CA_C10055MS2958FE_t0M16	CA_C10055IS2973FE_t4M16
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa|t__Rothia_dentocariosa_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0.00337	0	0	0	0	0	0	0	0	0	0.19023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08871	0.01506	0	0	0	0.00907	0	0	0	0.00683	0	0	0.01064	0	0	0.03004	0	0	0	0	0.1588	0.02108	0	0	0	0	0	0	0	0	0	0	0	0.02242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum|t__GCF_000210715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_adiacens|t__GCF_000160675	0	0	0	0	0	0	0	0	0	0	0	0.04636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39569	0.00683	0	0	0	0	0	0	0	0	0	0.05699	0	0	0	0	0	0	0	0	0	0.12561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33087	0.04956	0	0	0	0.1418	0	0	0	0.00128	0	0	0.16294	0	0	0	0	0	0.00239	0	0.23209	0.16798	0	0	0	0	0	0	0	0	0	0	0	0.65578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0.01554	0	0.00188	1.18621	30.64988	0.01008	49.62388	0.09029	0	0.00483	0.02237	0.01731	1.06148	0.40239	4.12235	22.36823	55.24199	19.08487	2.27681	0.65706	0.15616	2.83499	13.70492	8.62805	8.88297	0.077	0.00274	87.32217	14.06071	0	0.03824	0.02053	0	0.00109	1.72597	11.80937	1.47454	20.11757	0.16999	0.00757	0.0032	0.62379	0.02102	0	0.00342	0	0.0475	0	0.51883	20.32374	66.83459	0	0.14471	0.17312	9.3654	25.20146	0.00965	0.33584	0.01089	8.8965	3.58526	2.18968	0.10811	0.02626	0.82446	2.66888	5.83983	0.58949	0.08053	0.09042	14.24607	0	86.07373	0.83765	0.55886	3.36499	5.21448	6.14759	0.00021	0.31029	0.95009	0	0.05724	0.28234	2.28385	0	0.00027	0.13175	0.01771	0.36121	59.5674	3.71824	0	0.01638	0	0	1.71855	0.00733	0	0	0	0	0	0.11316	0	0	15.91892	0	0.32098	0.67971	0.00683	0	0.38808	22.57988	0.11171	13.79087	0.1804	0.07778	0.25191
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname|s__candidate_division_TM7_single_cell_isolate_TM7b|t__GCF_000170655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01966	0	0	0	0	0	0	0.00547	0	0	0	0	0	0	0	0.02828	0	0	0	0	0.0333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_medium|t__GCF_000413035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Candidatus_Prevotella_conceptionensis|t__GCF_000312305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Selenomonas|s__Selenomonas_flueggei|t__GCF_000160695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nanceiensis|t__GCF_000379965	0	0	0	0	0	0	0	0	0	0	0	0.00524	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0.21656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14515	0.02389	0	0	0	0.03772	0	0	0	0	0	0	0.06421	0	0	0	0	0	0	0	0.03472	0.07395	0	0	0	0	0	0	0	0	0	0	0	0.10485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname|s__Eubacterium_infirmum|t__GCF_000242675	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01009	0	0	0	0	0	0	0.02497	0	0	0	0	0	0	0	0	0.01931	0	0	0	0	0	0	0	0	0	0	0	0.01277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_denitrificans|t__GCF_000190695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_ICM7|t__GCF_000287675	0	0	0	0	0	0	0	0	0	0	0	0.00111	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12738	0.02468	0	0	0	0.06342	0	0	0	0	0	0	0.07193	0	0	0	0	0	0	0	0.06223	0.08321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_bacilliformis|t__GCF_000194925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor|s__Filifactor_alocis|t__GCF_000163895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris|t__GCF_000187585	0	0	0.02345	0	0	0	0	0	0	0.00453	0	0	0	0	0	0	0	0	0.02588	0	0	0	0	0	0.01175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12428	0	0	0.01577	0	0	0	0	0.00402	0.15566	0	0	0	0	0	0	0	0	0	0	0	0.02527	0.02954	0	0	0	0.00638	0	0	0.00256	0.00076	0.11894	0	0	0.60439	0	0	0.00079	0	0.50376	0	0	0.00573	0	0	0	0	0	0	0.0015	0	0	0	0	0.02207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01812
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis|t__Streptococcus_australis_unclassified	0	0	0	0.09326	0	0	0	0	0	0	0.00989	0.00878	0	0	0	0.00684	0	0	0	0	0	0	0	0	0	0.01694	0	0	0.00699	0	1e-04	0	0	0	0	0	0.13351	0	0	0	0.00137	0	0	0	0	0	0.30209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00744	0	0	0	0	0.01256	0	0	0	0	0	0	0.06058	0	0	0	0	0	0	0	0.00702	0.03098	0	0	0	0	0	0	0	0	0	0.00322	0	0.11037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_ochracea|t__Capnocytophaga_ochracea_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_micraerophilus|t__Dialister_micraerophilus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10133	0	0	0	0	0	0	0.1011	0	0	0	0	0	0	0	0.08758	0.09961	0	0	0	0.1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_tigurinus|t__Streptococcus_tigurinus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00232	0	0	0	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04569	0	0	0	0	0	0	0	0	0	0	0.02936	0	0	0.01469	0	0	0	0.00256	0.00082	0	0	0	0	0	0	0.03137	0	0	0	0	0	0	0	0	0	0	0	0	0.05541	0	0	0	0	0	0	0	0.00227	0	0	0	0	0	0	0	0	0.11587	0.15321	0	0.01407	0.3917	0	0.03056
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_micans|t__Prevotella_micans_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__Treponema_socranskii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy|t__GCF_000488855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_maculosa|t__Prevotella_maculosa_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_oralis|t__GCF_000160435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis|t__GCF_000147675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00428	0	0	0	0	0	0	0	0	0.00218	0	0	0	0	0	0	0	0	0.00486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_buccalis|t__GCF_000023905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_granulosa|t__GCF_000411115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae|t__GCF_000174015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	0.73952	0.06972	0	0	0.29779	0.13196	0.07919	0	0	0.03587	0	37.55183	0	0	0.01245	11.71384	0.93732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09154	0	0	0.05551	0	0	0.0074	0	0	0	0.01395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01001	0	0	0.29829	0	0	0	0	0	0	0	0	0	0	0	0.00568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	0.95098	0.83391	4.11528	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	1.59329	0	0	0	0	0	0	0	0.12523	0.01809	0	0.39922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00176	0	0	0	0	0	2.56221	0	0	0	0	1.93893	0	0	0	0	0	0.33769	0	0	0	0	6.59468	0	0	0	0.01511	0.97032	0	25.47041	0.05609	0	0	0	0	22.12214	6.47478	0	0	0	0	0	0.95257	0	0	0	0	20.73028	0	0	0	0	0	0	0	0	0.06866	0	0	0	0	0	0	0	0	0	0	0	0	1.80849	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Lentivirus	0.73952	0.06972	0	0	0.29779	0.13196	0.07033	0	0	0.03587	0	37.54361	0	0	0	11.71384	0.93026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	0.02672	0.10302	0.01588	0	0	0	0	0	0	0.02258	0	0.01982	0.0164	0.01413	0	0	0	0	0.01725	0	0.03923	0.04065	0.0397	0.02803	0	55.91415	19.41464	0	0.01625	0	0.00309	0	0.0167	0	0	0	0	0	0	0	0	0.02955	0	0	0	0	0	0	0	0	0	0	0	0	0.01217	0	0	0	0	0.00716	0.01518	0.02533	0	0	0	0	0	0	0	0	0	0.02699	0	0.14396	0	0.01568	0	0.00933	0	0	0.06765	0	0	0	0	0.01789	0.02289	0	0	0	0	0	0	0.0589	0.03995	0	0	51.61142	0.52144	0	0.02314	0	0	0.01412	0	0.01871	0	0	0	0	0.01927	0.03158	0.0216	0.02682	0	0	0.00433	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.01161	0.00684	0.0137	0	0.01306	0.05475	0	0.01473	0	0	0	0	0	0.00673	0.07337	0.11222	0	0.0918	0	0	0	0	0.02702	0	0	0	0	0	0	0	0.01171	0	0	0.02527	0	0	0	0	0	0.00349	0.02051	0	0.00659	0	0	0.41302	0	0.07726	0	0.03298	0	0	0	0	0.00965	0	0	0	0	0.00728	0	0	0	0	0	0	0	0	0	0	0.0592	0.0171	0	0.01242	0.63715	0.00814	1.88025	0	0	0	0	0	0	0	0	0.00426	0	0	0	0	0.00612	0	0	0.03891	0	0	0	0.03151	0	0	0	0	0	0	0	0	0	0.00586	0.01096	0	0.02518	0	0.01538	0	1.46239	0	0	0	0
